,ds_name,og_fp_nodes,og_fn_nodes,og_ctc_fp_nodes,og_ctc_fn_nodes,og_ctc_ns_nodes,kit_fp_nodes,kit_fn_nodes,kit_ctc_fp_nodes,kit_ctc_fn_nodes,kit_ctc_ns_nodes,ultrack_default_fp_nodes,ultrack_default_fn_nodes,ultrack_default_ctc_fp_nodes,ultrack_default_ctc_fn_nodes,ultrack_default_ctc_ns_nodes,ultrack_custom_fp_nodes,ultrack_custom_fn_nodes,ultrack_custom_ctc_fp_nodes,ultrack_custom_ctc_fn_nodes,ultrack_custom_ctc_ns_nodes,ultrack_default_fn_delta,ultrack_custom_fn_delta,kit_fn_delta,ultrack_default_fp_delta,ultrack_custom_fp_delta,kit_fp_delta,ultrack_default_ctc_fn_delta,ultrack_custom_ctc_fn_delta,kit_ctc_fn_delta,ultrack_default_ctc_fp_delta,ultrack_custom_ctc_fp_delta,kit_ctc_fp_delta,ultrack_default_ctc_ns_delta,ultrack_custom_ctc_ns_delta,kit_ctc_ns_delta
0,Fluo-N3DH-SIM+_01,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,1,1,1,2,0,0,0,0,1,1,0,0,0,0,0,1,0
1,Fluo-N3DH-SIM+_02,0,0,0,0,0,0,0,0,0,0,0,13,0,13,0,0,7,0,7,0,13,7,0,0,0,0,13,7,0,0,0,0,0,0,0
2,Fluo-C3DL-MDA231_01,0,13,0,13,0,5,12,7,12,2,0,34,0,32,2,0,19,0,18,1,21,6,-1,0,0,5,19,5,-1,0,0,7,2,1,2
3,Fluo-C3DL-MDA231_02,0,3,0,3,0,9,7,10,4,4,0,20,0,13,7,1,12,1,5,7,17,9,4,0,1,9,10,2,1,0,1,10,7,7,4
4,Fluo-N2DH-GOWT1_01,0,4,0,4,0,0,3,0,3,0,0,10,0,10,0,0,6,0,6,0,6,2,-1,0,0,0,6,2,-1,0,0,0,0,0,0
5,Fluo-N2DH-GOWT1_02,0,230,0,230,0,3,228,3,228,0,0,240,0,240,0,0,236,0,236,0,10,6,-2,0,0,3,10,6,-2,0,0,3,0,0,0
6,PhC-C2DH-U373_01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,PhC-C2DH-U373_02,10,10,0,0,0,47,10,37,0,0,10,25,0,1,14,10,24,0,0,14,15,14,0,0,0,37,1,0,0,0,0,37,14,14,0
8,Fluo-N2DL-HeLa_01,0,37,0,37,0,58,33,62,34,3,0,79,0,64,15,2,70,2,57,13,42,33,-4,0,2,58,27,20,-3,0,2,62,15,13,3
9,Fluo-N2DL-HeLa_02,0,42,0,42,0,208,38,213,33,10,1,160,1,113,46,1,107,1,69,38,118,65,-4,1,1,208,71,27,-9,1,1,213,46,38,10
10,Fluo-C2DL-MSC_01,0,1,0,1,0,12,0,12,0,0,1,57,1,57,0,1,4,1,4,0,56,3,-1,1,1,12,56,3,-1,1,1,12,0,0,0
11,Fluo-C2DL-MSC_02,0,0,0,0,0,11,1,12,1,1,0,17,0,17,0,0,17,0,17,0,17,17,1,0,0,11,17,17,1,0,0,12,0,0,1
12,Fluo-C3DH-H157_01,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0
13,Fluo-C3DH-H157_02,0,0,0,0,0,2,2,2,0,2,0,57,0,57,0,1,19,1,19,0,57,19,2,0,1,2,57,19,0,0,1,2,0,0,2
14,DIC-C2DH-HeLa_01,0,16,0,16,0,14,15,14,13,2,0,149,0,132,17,0,34,0,27,7,133,18,-1,0,0,14,116,11,-3,0,0,14,17,7,2
15,DIC-C2DH-HeLa_02,0,42,0,42,0,1,51,5,40,15,0,104,0,89,13,0,53,0,51,2,62,11,9,0,0,1,47,9,-2,0,0,5,13,2,15
16,Fluo-N3DH-CHO_01,0,0,0,0,0,1,0,1,0,0,0,3,0,3,0,0,1,0,1,0,3,1,0,0,0,1,3,1,0,0,0,1,0,0,0
17,Fluo-N3DH-CHO_02,0,0,0,0,0,5,0,5,0,0,0,8,0,8,0,0,5,0,5,0,8,5,0,0,0,5,8,5,0,0,0,5,0,0,0
18,BF-C2DL-MuSC_01,0,23,0,23,0,33,32,36,22,13,0,187,0,75,104,0,185,0,78,100,164,162,9,0,0,33,52,55,-1,0,0,36,104,100,13
19,BF-C2DL-MuSC_02,0,72,0,72,0,50,48,53,37,14,0,174,0,98,72,0,218,0,131,83,102,146,-24,0,0,50,26,59,-35,0,0,53,72,83,14
20,BF-C2DL-HSC_01,0,1,0,1,0,212,0,213,1,0,0,28,0,3,25,0,29,0,3,26,27,28,-1,0,0,212,2,2,0,0,0,213,25,26,0
21,BF-C2DL-HSC_02,0,2,0,2,0,2041,78,2061,21,77,0,111,0,19,92,0,86,0,9,77,109,84,76,0,0,2041,17,7,19,0,0,2061,92,77,77
22,Fluo-C3DH-A549_01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Fluo-C3DH-A549_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Fluo-N2DH-SIM+_01,0,0,0,0,0,3,0,3,0,0,1,11,2,12,0,0,5,1,6,0,11,5,0,1,0,3,12,6,0,2,1,3,0,0,0
