,ds_name,og_fp_nodes,og_fn_nodes,og_ctc_fp_nodes,og_ctc_fn_nodes,og_ctc_ns_nodes,kit_fp_nodes,kit_fn_nodes,kit_ctc_fp_nodes,kit_ctc_fn_nodes,kit_ctc_ns_nodes,ultrack_fp_nodes,ultrack_fn_nodes,ultrack_ctc_fp_nodes,ultrack_ctc_fn_nodes,ultrack_ctc_ns_nodes,ultrack_fn_delta,kit_fn_delta,ultrack_fp_delta,kit_fp_delta,ultrack_ctc_fn_delta,kit_ctc_fn_delta,ultrack_ctc_fp_delta,kit_ctc_fp_delta,ultrack_ctc_ns_delta,kit_ctc_ns_delta
0,Fluo-N3DH-SIM+_01,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0
1,Fluo-N3DH-SIM+_02,0,0,0,0,0,0,0,0,0,0,0,13,0,13,0,13,0,0,0,13,0,0,0,0,0
2,Fluo-C3DL-MDA231_01,0,13,0,13,0,5,12,7,12,2,0,34,0,32,2,21,-1,0,5,19,-1,0,7,2,2
3,Fluo-C3DL-MDA231_02,0,3,0,3,0,9,7,10,4,4,0,20,0,13,7,17,4,0,9,10,1,0,10,7,4
4,Fluo-N2DH-GOWT1_01,0,4,0,4,0,0,3,0,3,0,0,10,0,10,0,6,-1,0,0,6,-1,0,0,0,0
5,Fluo-N2DH-GOWT1_02,0,230,0,230,0,3,228,3,228,0,0,240,0,240,0,10,-2,0,3,10,-2,0,3,0,0
6,PhC-C2DH-U373_01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,PhC-C2DH-U373_02,10,10,0,0,0,47,10,37,0,0,10,25,0,1,14,15,0,0,37,1,0,0,37,14,0
8,Fluo-N2DL-HeLa_01,0,37,0,37,0,58,33,62,34,3,0,79,0,64,15,42,-4,0,58,27,-3,0,62,15,3
9,Fluo-N2DL-HeLa_02,0,42,0,42,0,208,38,213,33,10,1,160,1,113,46,118,-4,1,208,71,-9,1,213,46,10
10,Fluo-C2DL-MSC_01,0,1,0,1,0,12,0,12,0,0,1,57,1,57,0,56,-1,1,12,56,-1,1,12,0,0
11,Fluo-C2DL-MSC_02,0,0,0,0,0,11,1,12,1,1,-1,-1,-1,-1,-1,-1,1,-1,11,-1,1,-1,12,-1,1
12,Fluo-C3DH-H157_01,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,0,0,5,0,0,0,0,0
13,Fluo-C3DH-H157_02,0,0,0,0,0,2,2,2,0,2,0,57,0,57,0,57,2,0,2,57,0,0,2,0,2
14,DIC-C2DH-HeLa_01,0,16,0,16,0,14,15,14,13,2,0,149,0,132,17,133,-1,0,14,116,-3,0,14,17,2
15,DIC-C2DH-HeLa_02,0,42,0,42,0,1,51,5,40,15,0,104,0,89,13,62,9,0,1,47,-2,0,5,13,15
16,Fluo-N3DH-CHO_01,0,0,0,0,0,1,0,1,0,0,0,3,0,3,0,3,0,0,1,3,0,0,1,0,0
17,Fluo-N3DH-CHO_02,0,0,0,0,0,5,0,5,0,0,0,8,0,8,0,8,0,0,5,8,0,0,5,0,0
18,BF-C2DL-MuSC_01,0,23,0,23,0,33,32,36,22,13,-1,-1,-1,-1,-1,-24,9,-1,33,-24,-1,-1,36,-1,13
19,BF-C2DL-MuSC_02,0,72,0,72,0,50,48,53,37,14,-1,-1,-1,-1,-1,-73,-24,-1,50,-73,-35,-1,53,-1,14
20,BF-C2DL-HSC_01,0,1,0,1,0,212,0,213,1,0,-1,-1,-1,-1,-1,-2,-1,-1,212,-2,0,-1,213,-1,0
21,BF-C2DL-HSC_02,0,2,0,2,0,2041,78,2061,21,77,-1,-1,-1,-1,-1,-3,76,-1,2041,-3,19,-1,2061,-1,77
22,Fluo-C3DH-A549_01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Fluo-C3DH-A549_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Fluo-N2DH-SIM+_01,0,0,0,0,0,3,0,3,0,0,1,11,2,12,0,11,0,1,3,12,0,2,3,0,0
25,Fluo-N2DH-SIM+_02,0,0,0,0,0,4,0,4,0,0,4,19,5,18,2,19,0,4,4,18,0,5,4,2,0
26,PhC-C2DL-PSC_01,0,336,0,336,0,616,297,763,300,144,4,6904,4,603,5614,6568,-39,4,616,267,-36,4,763,5614,144
27,PhC-C2DL-PSC_02,0,29,0,29,0,351,115,366,23,107,1,5499,1,59,4464,5470,86,1,351,30,-6,1,366,4464,107
28,Fluo-N3DH-CE_01,0,17,0,17,0,820,326,825,20,311,-1,-1,-1,-1,-1,-18,309,-1,820,-18,3,-1,825,-1,311
29,Fluo-N3DH-CE_02,4,105,0,101,0,730,330,733,97,236,-1,-1,-1,-1,-1,-106,225,-5,726,-102,-4,-1,733,-1,236
30,Fluo-C3DH-A549-SIM_01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Fluo-C3DH-A549-SIM_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
