ds_name,method,conv_frac_median,conv_frac_p95,error_at_conv_median,estimated_prec,n_edges,true_precision,conv_n_edges_median
BF-C2DL-HSC_01,random,0.06992966678196702,0.17021215265767317,-0.0006177722717103928,0.9983445245114095,8673,0.99896229678312,606
BF-C2DL-HSC_01,trajectory,0.20327453015104346,0.2912487028709789,0.0004704882424048096,0.9994327850255248,8673,0.99896229678312,1763
BF-C2DL-HSC_02,random,0.008100900789159522,0.03267725081009005,-0.0006154091509642523,0.9980822450762331,64499,0.9986976542271974,522
BF-C2DL-HSC_02,trajectory,0.027248484472627482,0.051888401370563886,0.0007323037437578228,0.9994299579709551,64499,0.9986976542271974,1758
BF-C2DL-MuSC_01,random,0.17103307320698624,0.38323114083983645,-0.004952938762153636,0.9701492537313432,5382,0.9751021924934968,920
BF-C2DL-MuSC_01,trajectory,0.8230211817168338,0.9458658491267187,0.004818233333379995,0.9799204258268768,5382,0.9751021924934968,4429
BF-C2DL-MuSC_02,random,0.0792835323521244,0.22577061927242417,-0.004946430659614587,0.9792246329338317,7202,0.9841710635934463,571
BF-C2DL-MuSC_02,trajectory,0.49666759233546237,0.6690849763954457,-0.004995890053225871,0.9791751735402204,7202,0.9841710635934463,3577
DIC-C2DH-HeLa_01,random,0.23973880597014927,0.6261194029850741,-0.00259330744255698,0.9946081850947563,1072,0.9972014925373134,257
DIC-C2DH-HeLa_01,trajectory,0.2719216417910448,0.6407182835820893,-0.0006356717508096965,0.9965658207865037,1072,0.9972014925373134,292
DIC-C2DH-HeLa_02,random,0.20588235294117646,0.43902310924369736,-0.002417688386830208,0.9923302107728337,952,0.9947478991596639,196
DIC-C2DH-HeLa_02,trajectory,0.3077731092436975,0.5126050420168067,-0.0004950255964454309,0.9942528735632185,952,0.9947478991596639,293
Fluo-C3DH-H157_02,random,0.5971223021582733,0.9359712230215828,-0.004853948166767874,0.9879518072289156,139,0.9928057553956835,83
Fluo-C3DH-H157_02,trajectory,0.6654676258992805,0.9359712230215828,-0.0036422127527593884,0.9891635426429242,139,0.9928057553956835,92
Fluo-C3DL-MDA231_01,random,0.49050632911392406,0.6495253164556961,-0.004443502779296948,0.9892273832966524,316,0.9936708860759493,155
Fluo-C3DL-MDA231_01,trajectory,0.560126582278481,0.7248417721518986,-0.004938581118163532,0.9887323049577859,316,0.9936708860759493,177
Fluo-C3DL-MDA231_02,random,0.3942857142857143,0.7254285714285713,-0.0003243754246718411,0.9882470531467566,525,0.9885714285714285,207
Fluo-C3DL-MDA231_02,trajectory,0.6971428571428572,0.9047619047619048,-0.004964871194379383,0.9836065573770492,525,0.9885714285714285,366
Fluo-N2DH-GOWT1_01,random,0.23238048299655004,0.575579103006407,-0.000643821602553718,0.9978776175300239,2029,0.9985214391325776,472
Fluo-N2DH-GOWT1_01,trajectory,0.17077378018728437,0.5344011828486939,-0.0014219430585122872,0.9970994960740653,2029,0.9985214391325776,346
Fluo-N2DH-GOWT1_02,random,0.13779353123615418,0.4509304386353565,-0.004931783111545851,0.986206896551724,2257,0.9911386796632699,311
